id	sign	name_ja	fid	nday	n_ja
a-nauru	🇳🇷	ナウル	C23	126	2180
a-namibia	🇳🇦	ナミビア			2190
a-niue	🇳🇺	ニウエ			2200
a-nicaragua	🇳🇮	ニカラグア			2210
a-niger	🇳🇪	ニジェール			2220
a-japan	🇯🇵	日本	E10	82	2230
a-nz	🇳🇿	ニュージーランド			2240
a-nepal	🇳🇵	ネパール	C01	49	2250
a-norway	🇳🇴	ノルウェー	P36	51	2260
a-bahrain	🇧🇭	バーレーン	P34	159	2270
a-haiti	🇭🇹	ハイチ	C23	182	2280
a-pakistan	🇵🇰	パキスタン	S14	124	2290
a-vatican	🇻🇦	バチカン市国	S09	78	2300
a-panama	🇵🇦	パナマ	S01	147	2310
a-vanuatu	🇻🇺	バヌアツ	P03	109	2320
a-bahama	🇧🇸	バハマ			2330
a-png	🇵🇬	パプアニューギニア	P03	100	2340
a-palau	🇵🇼	パラオ	P03	16	2350
a-paraguay	🇵🇾	パラグアイ	C23	37	2360
a-barbados	🇧🇧	バルバドス	P03	158	2370
a-plo	🇵🇸	パレスチナ	S14	50	2380
a-plo	🇵🇸	パレスチナ		50	2380
a-hungary	🇭🇺	ハンガリー	S16	42	2390
a-bangladesh	🇧🇩	バングラデシュ	C20	29	2400
a-easttimor	🇹🇱	東ティモール	C23	138	2410
a-fiji	🇫🇯	フィジー	C23	166	2420
a-philippines	🇵🇭	フィリピン	P09	56	2430
a-finland	🇫🇮	フィンランド	P36	61	2440
a-bhutan	🇧🇹	ブータン	S14	20	2450
a-brazil	🇧🇷	ブラジル	P26	70	2460
a-france	🇫🇷	フランス	P12	154	2470
a-bulgaria	🇧🇬	ブルガリア	S12	36	2480
a-burkina	🇧🇫	ブルキナファソ	S14	114	2490
a-brunei	🇧🇳	ブルネイ	C05		2500
a-brundi	🇧🇮	ブルンジ	P03	64	2510
a-vietnam	🇻🇳	ベトナム	P15	150	2520
a-benin	🇧🇯	ベナン	C23	139	2530
a-venezuela	🇻🇪	ベネズエラ			2540
a-belarus	🇧🇾	ベラルーシ			2550
a-belize	🇧🇿	ベリーズ	S14	113	2560
a-peru	🇵🇪	ペルー	P05	119	2570
a-belgium	🇧🇪	ベルギー	S08	155	2580
a-poland	🇵🇱	ポーランド	S20	172	2590
a-bosnia_h	🇧🇦	ボスニア・ヘルツェゴビナ			2600
a-botswana	🇧🇼	ボツワナ			2610
a-bolivia	🇧🇴	ボリビア	P03	9	2620
a-portugal	🇵🇹	ポルトガル	P20	23	2630
a-honduras	🇭🇳	ホンジュラス	S14	180	2640
a-marshall	🇲🇭	マーシャル諸島	S14	145	2650
a-madagascar	🇲🇬	マダガスカル	S14	171	2660
a-malawi	🇲🇼	マラウイ	P03	67	2670
a-mali	🇲🇱	マリ	S14	112	2680
a-malta	🇲🇹	マルタ	P37	96	2690
a-malaysia	🇲🇾	マレーシア	P02	149	2700
a-micronesia	🇫🇲	ミクロネシア連邦	C23	110	2710
a-s_africa	🇿🇦	南アフリカ共和国			2720
a-s_sudan	🇸🇸	南スーダン	S14	53	2730
a-myanmar	🇲🇲	ミャンマー			2740
a-mexico	🇲🇽	メキシコ			2750
a-mauritius	🇲🇺	モーリシャス	P03	93	2760
a-mauritania	🇲🇷	モーリタニア	C23	91	2770
a-mozambique	🇲🇿	モザンビーク	P08	65	2780
a-monaco	🇲🇨	モナコ	C10	77	2790
a-maldives	🇲🇻	モルディブ			2800
a-moldova	🇲🇩	モルドバ	S14	141	2810
a-morocco	🇲🇦	モロッコ			2820
a-mongolia	🇲🇳	モンゴル	S14	106	2830
a-montenegro	🇲🇪	モンテネグロ	S01	44	2840
a-jordan	🇯🇴	ヨルダン	P04	25	2850
a-laos	🇱🇦	ラオス	S14	88	2860
a-latvia	🇱🇻	ラトビア	S06	38	2870
a-lithuania	🇱🇹	リトアニア	S06	85	2880
a-libya	🇱🇾	リビア			2890
a-liechtenstein	🇱🇮	リヒテンシュタイン			2900
a-liberia	🇱🇷	リベリア	S14	136	2910
a-romania	🇷🇴	ルーマニア	S21	75	2920
a-luxembourg	🇱🇺	ルクセンブルク	C02	48	2930
a-rwanda	🇷🇼	ルワンダ	P03	83	2940
a-lesotho	🇱🇸	レソト	C23	80	2950
a-lebanon	🇱🇧	レバノン			2960
a-russia	🇷🇺	ロシア			2970
a-n_korea	🇰🇵	北朝鮮			2980
a-taiwan	🇹🇼	台湾	W02		2990
a-hongkong	🇭🇰	香港			3010
a-macao	🇲🇴	マカオ			3020
a-n_pole	🏁	北極			3030
a-s_pole	🇦🇶	南極			3040
a-eu	🇪🇺	欧州連合（EU）	S07	27	4010
a-asean	🌐	東南アジア諸国連合（ASEAN）	P29	118	4020
a-un	🇺🇳	国際連合（UN）	P30	132	4030
a-redcr	🌐	国際赤十字・赤新月運動	P31	26	4040
a-iter	🌐	イーター国際核融合エネルギー機構（ITER）	P29	92	4050
a-istc	🌐	国際科学技術センター（ISTC）	P29	137	4060
a-isa	🌐	太陽に関する国際的な同盟（ISA）	P29	72	4070
a-museum	🌐	万博博物館	P29		4080
s-miyata	👔	Better Co-Being（宮田 裕章）	X01		5010
s-ishiguro	👔	いのちの未来（石黒 浩）	X02		5020
s-nakajima	👔	いのちの遊び場 クラゲ館（中島 さち子）	X03		5030
s-ochiai	👔	null2（落合 陽一）	X04		5040
s-fukuoka	👔	いのち動的平衡館（福岡 伸一）	X05		5050
s-kawamori	👔	いのちめぐる冒険（河森 正治）	X06		5060
s-koyama	👔	EARTH MART（小山 薫堂）	X07		5070
s-kawase	👔	Dialogue Theater －いのちのあかし－（河瀨 直美）	X08		5080
d-japanese-government	🏢	日本館	E10		6010
d-womens-pv	🏢	ウーマンズパビリオン in collaboration with Cartier	E09		6020
d-osaka-pv	🏢	大阪ヘルスケアパビリオン Nest for Reborn	E02		6030
d-kansai-pv	🏢	関西パビリオン	E01		6040
d-ntt	🏢	NTT パビリオン	E03		6050
d-electric	🏢	電力館 可能性のタマゴたち	E08		6060
d-sumitomo	🏢	住友館	E07		6070
d-panasonic	🏢	パナソニックグループパビリオン「ノモの国」	E06		6080
d-mitsubishi	🏢	三菱未来館	E05		6090
d-yoshimoto	🏢	よしもと waraii myraii館	W10		6100
d-pasona	🏢	PASONA NETUREVERSE	W09		6110
d-zeri	🏢	BLUE OCEAN DOME（ブルーオーシャン・ドーム）	W06		6120
d-bandai-namco	🏢	GUNDAM NEXT FUTURE PAVILION	W07		6130
d-tamayama	🏢	TECH WORLD	W02		6140
d-gas	🏢	ガスパビリオン おばけワンダーランド	W03		6150
d-iida	🏢	飯田グループｘ大阪公立大学共同出展館	W04		6160
d-ora	🏢	ORA外食パビリオン『宴〜UTAGE〜』	W05		6170
wc-d01	🚻	トイレ（夢洲の庭）	WC01		7010
wc-d02	🚻	トイレ（残念石）	WC02		7020
wc-d03	🚻	トイレ（空気膜）	WC03		7030
wc-d04	🚻	トイレ（土の壁）	WC04		7040
wc-d05	🚻	トイレ（積み木）	WC05		7050
wc-d06	🚻	トイレ（水の循環）	WC06		7060
wc-d07	🚻	トイレ（蜃気楼）	WC07		7070
wc-d08	🚻	トイレ（多様性）	WC08		7080
mc-01	🍙	ローソン大阪・関西万博店	E81		8010
mc-02	☕	ローソンカフェ大阪・関西万博店	E81		8020
mc-03	🎁	2025大阪・関西万博 会場内 オフィシャルストア 東ゲート店 MARUZEN JUNKUDO	E81		8030
mc-04	🎁	2025大阪・関西万博 会場内 オフィシャルストア 東ゲート店 大松松坂屋百貨店	E81		8040
mc-05	☕	人と地球とショートケーキと FUJIYA EXPO 2025 STORE	E83		8050
mc-06	🎁	Souvenir JAPAN EAST 大阪・関西万博店	E83		8060
mc-07	🎁	おいしい老舗のたからばこ 大阪産（もん）名品	E83		8070
mc-08	🎁	京丹波	E83		8080
mc-09	🎁	北陸お花ごっつおマルシェ	E83		8090
mc-10	🎁	Korea mart【韓国市場】	E82		8100
mc-11	🍱	インドカレーの店	E82		8110
mc-12	🍱	ソウル Live!	E82		8120
mc-13	🍱	讃岐うどん	E82		8130
mc-14	🍱	大阪ハラルムガルEXPO2025店	E82		8140
mc-15	🍱	PAULANER IMBISS（樽生ドイツビールと洋食の店）	E82		8150
mc-16	🍱	SOFRA produced by Mrs. Istanbul	E82		8160
mc-17	🍱	景福宮	E82		8170
